ТИК;УИК;Дегтярев Михаил Владимирович;Левичев Николай Владимирович;Мельников Иван Иванович;Митрохин Сергей Сергеевич;Навальный Алексей Анатольевич;Собянин Сергей Семенович;ТИК;УИК
район Новокосино ;1146;2,35;2,35;7,64;2,50;26,58;57,27;район Новокосино ;1146
район Новокосино ;1147;3,06;2,33;6,70;2,33;24,02;60,70;район Новокосино ;1147
район Новокосино ;1148;2,88;2,59;6,33;1,73;27,63;57,70;район Новокосино ;1148
район Новокосино ;1149;1,39;2,15;8,22;1,90;26,30;58,79;район Новокосино ;1149
район Новогиреево ;1094;3,47;2,35;8,67;2,73;25,90;54,77;район Новогиреево ;1094
район Новогиреево ;1095;4,28;4,28;9,76;4,97;22,77;52,05;район Новогиреево ;1095
район Новогиреево ;1096;3,62;4,68;9,57;5,96;23,40;51,06;район Новогиреево ;1096
район Новогиреево ;1097;3,17;3,81;9,84;2,22;22,86;54,76;район Новогиреево ;1097
район Новогиреево ;1098;3,37;3,23;12,34;5,05;25,53;49,51;район Новогиреево ;1098
район Новогиреево ;1099;2,02;2,69;12,90;2,15;35,89;42,07;район Новогиреево ;1099
район Новогиреево ;1100;2,28;1,99;9,67;3,41;27,74;51,21;район Новогиреево ;1100
район Новогиреево ;1101;2,64;2,88;14,15;4,08;33,81;41,49;район Новогиреево ;1101
